"","Month","Title","Employed"
"261",2011 sep.,"Retail Trade",14617.2
"262",2011 oct.,"Retail Trade",14751.7
"263",2011 nov.,"Retail Trade",15142.3
"264",2011 dic.,"Retail Trade",15296.7
"265",2012 ene.,"Retail Trade",14734.5
"266",2012 feb.,"Retail Trade",14520.3
"267",2012 mar.,"Retail Trade",14580.3
"268",2012 abr.,"Retail Trade",14670.4
"269",2012 may.,"Retail Trade",14775.5
"270",2012 jun.,"Retail Trade",14815.9
"271",2012 jul.,"Retail Trade",14807.7
"272",2012 ago.,"Retail Trade",14815.2
"273",2012 sep.,"Retail Trade",14738.9
"274",2012 oct.,"Retail Trade",14877.7
"275",2012 nov.,"Retail Trade",15363
"276",2012 dic.,"Retail Trade",15462.5
"277",2013 ene.,"Retail Trade",14858.2
"278",2013 feb.,"Retail Trade",14672.3
"279",2013 mar.,"Retail Trade",14711.7
"280",2013 abr.,"Retail Trade",14808.6
"281",2013 may.,"Retail Trade",14932.3
"282",2013 jun.,"Retail Trade",15045.2
"283",2013 jul.,"Retail Trade",15097.3
"284",2013 ago.,"Retail Trade",15131.7
"285",2013 sep.,"Retail Trade",15052.6
"286",2013 oct.,"Retail Trade",15212.3
"287",2013 nov.,"Retail Trade",15655.3
"288",2013 dic.,"Retail Trade",15839.4
"289",2014 ene.,"Retail Trade",15170.7
"290",2014 feb.,"Retail Trade",14951.8
"291",2014 mar.,"Retail Trade",15015.4
"292",2014 abr.,"Retail Trade",15137
"293",2014 may.,"Retail Trade",15238.9
"294",2014 jun.,"Retail Trade",15354.6
"295",2014 jul.,"Retail Trade",15389.2
"296",2014 ago.,"Retail Trade",15380.4
"297",2014 sep.,"Retail Trade",15298.8
"298",2014 oct.,"Retail Trade",15481.6
"299",2014 nov.,"Retail Trade",15894.3
"300",2014 dic.,"Retail Trade",16048.1
"301",2015 ene.,"Retail Trade",15421.1
"302",2015 feb.,"Retail Trade",15244.9
"303",2015 mar.,"Retail Trade",15311.7
"304",2015 abr.,"Retail Trade",15401.8
"305",2015 may.,"Retail Trade",15530.3
"306",2015 jun.,"Retail Trade",15620.5
"307",2015 jul.,"Retail Trade",15647
"308",2015 ago.,"Retail Trade",15626.3
"309",2015 sep.,"Retail Trade",15513.4
"310",2015 oct.,"Retail Trade",15696.8
"311",2015 nov.,"Retail Trade",16095.8
"312",2015 dic.,"Retail Trade",16221.5
"313",2016 ene.,"Retail Trade",15625.7
"314",2016 feb.,"Retail Trade",15486.6
"315",2016 mar.,"Retail Trade",15576.8
"316",2016 abr.,"Retail Trade",15648.7
"317",2016 may.,"Retail Trade",15745.7
"318",2016 jun.,"Retail Trade",15851.8
"319",2016 jul.,"Retail Trade",15874.4
"320",2016 ago.,"Retail Trade",15864.6
"321",2016 sep.,"Retail Trade",15750.3
"322",2016 oct.,"Retail Trade",15899.5
"323",2016 nov.,"Retail Trade",16260.2
"324",2016 dic.,"Retail Trade",16394.3
"325",2017 ene.,"Retail Trade",15854.4
"326",2017 feb.,"Retail Trade",15627.9
"327",2017 mar.,"Retail Trade",15635
"328",2017 abr.,"Retail Trade",15686.6
"329",2017 may.,"Retail Trade",15759.5
"330",2017 jun.,"Retail Trade",15843
"331",2017 jul.,"Retail Trade",15841.1
"332",2017 ago.,"Retail Trade",15810.2
"333",2017 sep.,"Retail Trade",15679.3
"334",2017 oct.,"Retail Trade",15819.9
"335",2017 nov.,"Retail Trade",16285.8
"336",2017 dic.,"Retail Trade",16305.9
"337",2018 ene.,"Retail Trade",15718.6
"338",2018 feb.,"Retail Trade",15577
"339",2018 mar.,"Retail Trade",15610.8
"340",2018 abr.,"Retail Trade",15681.4
"341",2018 may.,"Retail Trade",15797.2
"342",2018 jun.,"Retail Trade",15844.9
"343",2018 jul.,"Retail Trade",15854.5
"344",2018 ago.,"Retail Trade",15834.9
"345",2018 sep.,"Retail Trade",15680.6
"346",2018 oct.,"Retail Trade",15796.5
"347",2018 nov.,"Retail Trade",16291.3
"348",2018 dic.,"Retail Trade",16309.2
"349",2019 ene.,"Retail Trade",15753.5
"350",2019 feb.,"Retail Trade",15567.4
"351",2019 mar.,"Retail Trade",15576.6
"352",2019 abr.,"Retail Trade",15624.9
"353",2019 may.,"Retail Trade",15691.6
"354",2019 jun.,"Retail Trade",15775.5
"355",2019 jul.,"Retail Trade",15785.9
"356",2019 ago.,"Retail Trade",15749.5
"357",2019 sep.,"Retail Trade",15611.3
